"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18327906064.3003","16183541332.9899","9418820611.43951","8589964511.29035","9053822833.63031","9678536466.07655","10246221416.4922","10586506596.0205","11359321576.2289","11734179188.3105","12426495760.7871","13619439353.7327","15417205348.1442","17575614097.1234","19421053577.114","22120580024.1606","25040496587.2317","28471044620.0698","30435546698.9769","26144134614.2082","26719305575.777","27975112937.4842","29989321069.253","30978968664.5384","32094211536.6445","33121226305.4854","33187468758.0387","35676528915.4363","37531708418.9153","40384118258.2046","37476461743.6139","39612620062.9999",
"American Samoa","ASM","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","966678464.210666","987718980.81919","999161460.172933","1051915973.37331","1122149321.88767","1073228241.63905","1144109168.5706","1206710342.88236","1263801318.69785","1310658242.74168","1391964025.79995","1328657453.56947","1342308637.88184","1423874608.69703","1505989864.77679","1603485108.26482","1807258377.52402","1975611420.14299","1975328104.58546","1739025583.76277","1602675635.24333","1571285427.86007","1624282782.9669","1614522851.10782","1675805740.78459","1739910222.13625","1835543677.67486","1893259104.10693","2023584260.56643","2121975706.32825","1693498508.25424","1782760254.72371",
"Australia","AUS","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529123069148.475","527096147392.417","529355384619.606","550780648215.098","572706803633.267","594968525843.069","617915517233.588","642093534784.624","671715601127.4","705008006077.568","732511576576.46","747465194904.733","777315889171.479","801501281816.837","835297651545.648","861640873871.273","885255311297.898","918699520272.853","951481199941.249","969278531721.698","990666305254.389","1014356951989","1053937239439.54","1081115691197.09","1108997849871.16","1132871644781.43","1163805248731.07","1190365421747.98","1224684193991.24","1251276940341.42","1250640223864.98","1278607196123.75",
"Austria","AUT","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","287877610666.848","297785286478.443","304019494756.947","305621097436.388","312962480111.461","321312267538.717","328861608034.195","335746652652.378","347771169942.14","360139064725.604","372296358893.85","377013979923.414","383240569094.825","386848667609.275","397429443747.181","406348020084.216","420383450698.257","436052887762.183","442421107373.803","425765818911.111","433587535848.305","446260420568.48","449296979861.322","449411571762.946","452383408466.616","456972845319.882","466064032926.316","476590426691.819","488149581132.161","495556707144.377","463573633529.714","484697992882.052",
"Azerbaijan","AZE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54652854605.6186","54270284527.3544","42005200047.01","32301999374.3051","25938505097.0468","22877761727.0493","23175172493.2955","24519332532.1961","26971265690.1671","28967139701.7542","32182491960.5264","35368558621.2804","38706967255.1185","42658290361.3658","46605804001.5187","59637503648.0424","80212442406.6171","100265552889.211","111053101726.768","121377002012.806","127505259496.577","127632764931.807","130396319940.942","137972086435.698","141767018076.399","143317915111.376","138875059914.371","139152809949.428","141240102098.67","144771104746.385","138545947094.179","146304571771.411",
"Burundi","BDI","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6444307233.87216","6766318726.55031","6834658435.46489","6408175748.99685","6162742618.05389","5674653402.47306","5220681130.39206","5137672300.58284","5381711734.60858","5327356446.2775","5281708243.6252","5390289977.14009","5629970267.35008","5561074747.03563","5829878068.53526","5882346971.20465","6200805891.82039","6414854521.74831","6726726553.9595","6983199508.95156","7341029824.51826","7637064192.37346","7976662009.32705","8369447994.2156","8724367008.49515","8384116688.14199","8333811911.79175","8375481076.5592","8510320913.11309","8664576038.88289","8692922796.49287","8848986839.4583",
"Belgium","BEL","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","353910993696.706","360398445086.651","365914901703.961","362395263927.975","374089655902.479","383010786203.891","388072085801.765","402794212092.751","410696262264.66","425246177251.417","441051214253.456","445901096710.163","453512113792.175","458219490391.071","474583444734.03","485602024421.712","497996287418.469","516307018968.288","518614543398.304","508134675995.647","522689140465.188","531546180596.913","535475461831.324","537934591084.72","546426066893.871","557581131065.091","564643935471.557","573788797293.568","584076515952.734","597164842690.778","565148526635.697","599813979754.59",
"Benin","BEN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10829251969.552","11286874436.5493","11620707543.812","12298912033.5651","12547399307.3432","13305914520.933","13881300057.7825","14677349358.5246","15258720948.2003","16073757802.47","17015312596.6121","17922762308.1962","18754921695.056","19400761822.8883","20260154372.6862","20607244157.9321","21419940047.2018","22702212482.9423","23813843817.0103","24366156424.6825","24881272742.8566","25618692190.0679","26851264681.8907","28782255584.8599","30612139032.0882","31156469106.8687","32196993426.2032","34023063767.8647","36301676624.9392","38794036239.5523","40287033682.7199","43169864848.4734",
"Burkina Faso","BFA","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8965578966.71655","9778755585.63689","9801511802.25928","10140779855.6219","10274131848.1712","10861439635.759","12057799392.1846","12819470652.4471","13756281626.4151","14773591365.2802","15052586780.6907","16048075419.6757","16746642338.0862","18053298083.0785","18861806396.8256","20495592155.5072","21777215286.8077","22672559146.7304","23987565704.7263","24698065613.0907","26784133778.8634","28557929808.7362","30400679457.6706","32161664608.7426","33553250183.4258","34868949890.8718","36946433803.5338","39238401912.359","41829929267.8886","44209263811.574","45062646234.4256","48174826550.4405",
