Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
American Samoa,ASM,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966678464.2,987718980.8,999161460.2,1051915973,1122149322,1073228242,1144109169,1206710343,1263801319,1310658243,1391964026,1328657454,1342308638,1423874609,1505989865,1603485108,1807258378,1975611420,1975328105,1739025584,1602675635,1571285428,1624282783,1614522851,1675805741,1739910222,1835543678,1893259104,2023584261,2121975706,1693498508,1782760255
Australia,AUS,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29123E+11,5.27096E+11,5.29355E+11,5.50781E+11,5.72707E+11,5.94969E+11,6.17916E+11,6.42094E+11,6.71716E+11,7.05008E+11,7.32512E+11,7.47465E+11,7.77316E+11,8.01501E+11,8.35298E+11,8.61641E+11,8.85255E+11,9.187E+11,9.51481E+11,9.69279E+11,9.90666E+11,1.01436E+12,1.05394E+12,1.08112E+12,1.109E+12,1.13287E+12,1.16381E+12,1.19037E+12,1.22468E+12,1.25128E+12,1.25064E+12,1.27861E+12
Austria,AUT,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87878E+11,2.97785E+11,3.04019E+11,3.05621E+11,3.12962E+11,3.21312E+11,3.28862E+11,3.35747E+11,3.47771E+11,3.60139E+11,3.72296E+11,3.77014E+11,3.83241E+11,3.86849E+11,3.97429E+11,4.06348E+11,4.20383E+11,4.36053E+11,4.42421E+11,4.25766E+11,4.33588E+11,4.4626E+11,4.49297E+11,4.49412E+11,4.52383E+11,4.56973E+11,4.66064E+11,4.7659E+11,4.8815E+11,4.95557E+11,4.63574E+11,4.84698E+11
Azerbaijan,AZE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54652854606,54270284527,42005200047,32301999374,25938505097,22877761727,23175172493,24519332532,26971265690,28967139702,32182491961,35368558621,38706967255,42658290361,46605804002,59637503648,80212442407,1.00266E+11,1.11053E+11,1.21377E+11,1.27505E+11,1.27633E+11,1.30396E+11,1.37972E+11,1.41767E+11,1.43318E+11,1.38875E+11,1.39153E+11,1.4124E+11,1.44771E+11,1.38546E+11,1.46305E+11
Burundi,BDI,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6444307234,6766318727,6834658435,6408175749,6162742618,5674653402,5220681130,5137672301,5381711735,5327356446,5281708244,5390289977,5629970267,5561074747,5829878069,5882346971,6200805892,6414854522,6726726554,6983199509,7341029825,7637064192,7976662009,8369447994,8724367008,8384116688,8333811912,8375481077,8510320913,8664576039,8692922796,8848986839
Belgium,BEL,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53911E+11,3.60398E+11,3.65915E+11,3.62395E+11,3.7409E+11,3.83011E+11,3.88072E+11,4.02794E+11,4.10696E+11,4.25246E+11,4.41051E+11,4.45901E+11,4.53512E+11,4.58219E+11,4.74583E+11,4.85602E+11,4.97996E+11,5.16307E+11,5.18615E+11,5.08135E+11,5.22689E+11,5.31546E+11,5.35475E+11,5.37935E+11,5.46426E+11,5.57581E+11,5.64644E+11,5.73789E+11,5.84077E+11,5.97165E+11,5.65149E+11,5.99814E+11
Benin,BEN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10829251970,11286874437,11620707544,12298912034,12547399307,13305914521,13881300058,14677349359,15258720948,16073757802,17015312597,17922762308,18754921695,19400761823,20260154373,20607244158,21419940047,22702212483,23813843817,24366156425,24881272743,25618692190,26851264682,28782255585,30612139032,31156469107,32196993426,34023063768,36301676625,38794036240,40287033683,43169864848
Burkina Faso,BFA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8965578967,9778755586,9801511802,10140779856,10274131848,10861439636,12057799392,12819470652,13756281626,14773591365,15052586781,16048075420,16746642338,18053298083,18861806397,20495592156,21777215287,22672559147,23987565705,24698065613,26784133779,28557929809,30400679458,32161664609,33553250183,34868949891,36946433804,39238401912,41829929268,44209263812,45062646234,48174826550
Bangladesh,BGD,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85405E+11,1.91867E+11,2.02309E+11,2.11841E+11,2.20082E+11,2.31353E+11,2.41817E+11,2.52675E+11,2.65756E+11,2.78167E+11,2.92891E+11,3.07762E+11,3.19559E+11,3.34705E+11,3.52241E+11,3.75264E+11,4.00301E+11,4.28557E+11,4.54329E+11,4.77251E+11,5.03842E+11,5.36412E+11,5.71394E+11,6.05756E+11,6.42471E+11,6.8457E+11,7.33266E+11,7.8159E+11,8.38798E+11,9.04912E+11,9.36113E+11,1.00107E+12
